text,intent,escalation_required,language_style,difficulty,scenario_type,notes,tags
I need this resolved before my meeting in 2 hours.,technical_support,true,,,,escalation hard positive,"[""escalation_positive"", ""hard_positive""]"
I'm deeply unsatisfied with the product quality.,complaint,false,,,,bulk addition 2,"[""standard""]"
Let me talk to a manager. This is the third time I'm calling.,human_request,true,,,,multi-intent example,"[""multi_intent""]"
Where can I find documentation about email notifications?,general_question,false,,,,bulk addition 4,"[""standard""]"
Mera refund kab tak process hoga?,refund,false,,,,bulk addition,"[""hinglish""]"
Don't need a human. Just wanted to leave a note.,other,false,,,,bulk addition 2,"[""hard_negative_escalation""]"
whr can i find the pricin page,pricing,false,,,,spelling/noisy text,"[""noisy""]"
Is there a chatbot included?,product_question,false,,,,product feature question,"[""standard""]"
What's the overage charge?,pricing,false,,,,pricing question,"[""standard"", ""pricing""]"
I require human assistance for this urgent matter.,human_request,true,,,,bulk addition,"[""standard""]"
What integrations do you support?,general_question,false,,,,general info question,"[""standard""]"
We're ready to move forward with your solution.,sales,false,,,,purchase intent,"[""standard"", ""sales""]"
Is there a tutorial for role management?,general_question,false,,,,bulk addition 4,"[""standard""]"
Mujhe refund chahiye aur human se baat karni hai.,refund,true,,,,bulk addition 3,"[""multi_intent""]"
Can you help me fix The webhook integration?,technical_support,false,,,,bulk addition 4,"[""standard""]"
my notifcations r broken fix plz,technical_support,false,,,,bulk addition 3,"[""noisy""]"
I am completely dissatisfied with this service.,complaint,false,,,,general complaint,"[""standard"", ""complaint""]"
Annual payment pe kitna discount?,pricing,false,,,,hinglish pricing,"[""hinglish""]"
kya custom domains use kar sakte hain?,product_question,false,,,,hinglish product question,"[""hinglish""]"
Mai purchase karna chahta hu.,sales,false,,,,hinglish sales,"[""hinglish""]"
I appreciate the help but I'm good now.,other,false,,,,bulk addition 3,"[""hard_negative_escalation""]"
Price list bhej do?,pricing,false,,,,hinglish pricing,"[""hinglish""]"
Refund pls,refund,true,,,,very short message,[]
Permissions reset ho rahi hain automatically.,technical_support,false,,,,hinglish technical support,"[""hinglish""]"
I'm having trouble with The API endpoint.,technical_support,false,,,,bulk addition 4,"[""standard""]"
Just a quick question. No follow up needed.,general_question,false,,,,bulk addition,"[""hard_negative_escalation""]"
Training price mein include hai?,pricing,false,,,,hinglish pricing,"[""hinglish""]"
Getting error code 500 whenever I hit save.,technical_support,false,,,,technical issue,"[""standard"", ""technical""]"
My workflow automation is not working.,technical_support,false,,,,bulk addition 4,"[""standard""]"
Maine galati se delete kar diya account. Help.,account_issue,true,,,,hinglish example,"[""hinglish""]"
The login page is not working.,technical_support,false,,,,bulk addition 4,"[""standard""]"
I'm tired of your broken promises.,complaint,false,,,,bulk addition,"[""standard""]"
Mujhe aapke product mein kuch features add karne hain. Kya aap custom development support karte ho?,product_question,false,,,,cross 2000,"[""hinglish""]"
You lost my trust. I'm leaving bad reviews everywhere.,complaint,true,,,,bulk addition 2,"[""standard""]"
This is both a feature request and a complaint.,complaint,false,,,,bulk addition,"[""confusion_pair""]"
Is there any way to speak to a real support agent?,human_request,true,,,,human request,"[""escalation_positive"", ""human_request""]"
The login page is showing incorrect data.,technical_support,false,,,,bulk addition 4,"[""standard""]"
Your automated system is not understanding my issue. Human needed.,human_request,true,,,,bulk addition,"[""standard""]"
Kya mein Salesforce se connect kar sakta hu?,product_question,false,,,,hinglish product question,"[""hinglish""]"
Can I access my data offline?,general_question,false,,,,general info question,"[""standard""]"
What's the pricing for the enterprise add-on?,pricing,false,,,,bulk addition 4,"[""standard""]"
Is there a grace period for late payments?,general_question,false,,,,general info question,"[""standard""]"
How do I set up email forwarding?,general_question,false,,,,general info question,"[""standard""]"
i fogot my passwrd,account_issue,false,,,,spelling/noisy text,"[""noisy""]"
Not working,technical_support,false,,,,very short message,[]
I have sales inquiry but also a technical problem.,sales,false,,,,multi-intent example,"[""multi_intent""]"
What's the pricing for API access for 100k calls?,pricing,false,,,,bulk addition 4,"[""standard""]"
Mujhe ek insaan se baat karni hai. Bot se nahi.,human_request,true,,,,human request,"[""escalation_positive"", ""human_request""]"
I want to upgrade but the payment page is broken.,sales,true,,,,bulk addition 2,"[""multi_intent""]"
Please connect me to your solutions team.,sales,false,,,,bulk addition 5,"[""standard""]"
What analytics metrics do you track?,product_question,false,,,,product feature question,"[""standard""]"
What is the max number of integrations?,product_question,false,,,,bulk addition 3,"[""standard""]"
The webhook integration keeps failing.,technical_support,false,,,,bulk addition 4,"[""standard""]"
Mera invoice galat hai. Correct karo.,pricing,false,,,,hinglish example,"[""hinglish""]"
I expect a call back within the next hour. This is unacceptable.,human_request,true,,,,escalation hard positive,"[""escalation_positive"", ""hard_positive""]"
Is there a tutorial for user permissions?,general_question,false,,,,bulk addition 4,"[""standard""]"
Can I use custom domains with your service?,product_question,false,,,,product feature question,"[""standard""]"
I want to talk to your solutions architect.,sales,false,,,,bulk addition 2,"[""standard""]"
I can't access the admin panel anymore.,account_issue,false,,,,account issue,"[""standard"", ""account""]"
Can I restrict access by IP address?,general_question,false,,,,bulk addition,"[""standard""]"
I'm documenting this entire conversation for my attorney.,complaint,true,,,,bulk addition 5,"[""escalation_positive""]"
the app is not openin on my fone help,technical_support,false,,,,bulk addition 3,"[""noisy""]"
What's included in the $50 plan?,pricing,false,,,,pricing question,"[""standard"", ""pricing""]"
i paid for premium but got nthng help,account_issue,true,,,,bulk addition 5,"[""noisy""]"
I am very unhappy with the recent changes.,complaint,false,,,,bulk addition 5,"[""standard""]"
why is this app so slo,technical_support,false,,,,spelling/noisy text,"[""noisy""]"
Mujhe lagta hai ki aapne mujhe dhoka diya.,complaint,false,,,,hinglish complaint,"[""hinglish""]"
ur chargin me rong ammount,pricing,true,,,,spelling/noisy text,"[""noisy""]"
Page load nahi ho raha. Infinite loading.,technical_support,false,,,,hinglish technical support,"[""hinglish""]"
File upload is not loading properly.,technical_support,false,,,,bulk addition 4,"[""standard""]"
Can I connect my domain?,general_question,false,,,,general info question,"[""standard""]"
I want to buy but your price is too high and I'm upset.,pricing,false,,,,bulk addition 3,"[""confusion_pair""]"
Email delivery is delayed by hours.,technical_support,false,,,,technical issue,"[""standard"", ""technical""]"
Kya aap Hindi mein support dete ho?,general_question,false,,,,bulk addition,"[""hinglish""]"
Is live chat available?,general_question,false,,,,general info question,"[""standard""]"
My account was merged with someone else's data.,account_issue,true,,,,bulk addition,"[""standard""]"
Kya aapke yaha COD available hai?,pricing,false,,,,hinglish example,"[""hinglish""]"
I've lost count of how many times I've reported this.,complaint,true,,,,bulk addition,"[""escalation_positive""]"
my data is not syncing propely,technical_support,false,,,,spelling/noisy text,"[""noisy""]"
This platform is getting worse with every update.,complaint,false,,,,bulk addition 5,"[""standard""]"
can sum1 help me with my oder,general_question,false,,,,spelling/noisy text,"[""noisy""]"
Your promises were misleading. I feel cheated.,complaint,false,,,,general complaint,"[""standard"", ""complaint""]"
The drag and drop editor keeps failing.,technical_support,false,,,,bulk addition 4,"[""standard""]"
how much dose the pro plan cost?,pricing,false,,,,spelling/noisy text,"[""noisy""]"
I'm going to dispute this with my bank.,technical_support,true,,,,escalation hard positive,"[""escalation_positive"", ""hard_positive""]"
Mera kaam ruka hua hai. Jaldi karo.,technical_support,true,,,,escalation hard positive,"[""escalation_positive"", ""hard_positive""]"
Angry about billing but love the product.,pricing,false,,,,bulk addition 2,"[""multi_intent""]"
Kya isme A/B testing ka feature hai?,product_question,false,,,,hinglish product question,"[""hinglish""]"
The CSV importer is not loading properly.,technical_support,false,,,,bulk addition 4,"[""standard""]"
The reporting dashboard is showing incorrect data.,technical_support,false,,,,bulk addition 4,"[""standard""]"
You owe me $299. Refund it now.,refund,true,,,,bulk addition 2,"[""standard""]"
i forgat my pasword,account_issue,false,,,,spelling/noisy text,"[""noisy""]"
Do I need to configure email notifications manually?,general_question,false,,,,bulk addition 4,"[""standard""]"
Mera kaam ruka hua hai. Please jaldi help karo.,technical_support,true,,,,hinglish example,"[""hinglish""]"
This has been ignored for too long. Escalate now.,complaint,true,,,,bulk addition 2,"[""escalation_positive""]"
The search bar stopped working suddenly.,technical_support,false,,,,bulk addition 4,"[""standard""]"
Mujhe senior se baat karni hai. Bot nahi.,human_request,true,,,,bulk addition 5,"[""hinglish""]"
I'm unable to change my account email address.,account_issue,false,,,,bulk addition,"[""standard""]"
What are the system requirements?,general_question,false,,,,general info question,"[""standard""]"
I've been paying for 6 months and it's been nothing but trouble.,complaint,false,,,,bulk addition,"[""standard""]"
Data export stopped working suddenly.,technical_support,false,,,,bulk addition 4,"[""standard""]"
How much for additional team members?,pricing,false,,,,bulk addition,"[""standard""]"
Please connect me to your sales department.,sales,false,,,,purchase intent,"[""standard"", ""sales""]"
How long does it take to set up audit logging?,general_question,false,,,,bulk addition 4,"[""standard""]"
The data table freezes when I scroll.,technical_support,false,,,,bulk addition 3,"[""standard""]"
The The template preview feature is causing errors.,technical_support,false,,,,bulk addition 4,"[""standard""]"
I want to increase my plan limits.,sales,false,,,,purchase intent,"[""standard"", ""sales""]"
i hat u guys ur service is the worst evr,complaint,false,,,,bulk addition 2,"[""noisy""]"
Can the template system be disabled?,general_question,false,,,,bulk addition 4,"[""standard""]"
I don't want anyone to reach out. Just process my request.,general_question,false,,,,escalation hard negative,"[""hard_negative_escalation""]"
I've reported the same issue 5 times. Nothing changes.,complaint,true,,,,bulk addition,"[""standard""]"
Mujhe manager se baat karni hai.,human_request,true,,,,hinglish human request,"[""hinglish"", ""escalation_positive"", ""human_request""]"
Account security question not working.,account_issue,false,,,,account issue,"[""standard"", ""account""]"
Can you explain user permissions?,general_question,false,,,,bulk addition 4,"[""standard""]"
I am furious! But I'll handle it myself.,complaint,false,,,,bulk addition 3,"[""hard_negative_escalation""]"
I'm both interested in buying and angry about my current plan.,sales,false,,,,bulk addition,"[""multi_intent""]"
this servic is a scam,complaint,true,,,,spelling/noisy text,"[""noisy""]"
Hi I am writing because I have a very urgent issue. I am about to give a demo to a potential client in 2 hours and your platform just went down. I cannot access any of my data and I have no idea what to show the client. This is extremely embarrassing for me and potentially a lost business opportunity. I need this fixed immediately. My entire presentation depends on your platform working. Please please help me as soon as possible. This is time critical.,technical_support,true,,,,long message,"[""long""]"
How often do you update the software?,general_question,false,,,,general info question,"[""standard""]"
Much appreciated!,other,false,,,,bulk addition,"[""standard""]"
Complaint about my account and I want to cancel.,account_issue,false,,,,bulk addition 3,"[""multi_intent""]"
I was about to get angry but then it fixed.,technical_support,false,,,,bulk addition 3,"[""hard_negative_escalation""]"
File upload is broken after the latest update.,technical_support,false,,,,bulk addition 4,"[""standard""]"
What's the pricing for white labeling?,pricing,false,,,,bulk addition 4,"[""standard""]"
Need human,human_request,true,,,,bulk addition 5,"[""standard""]"
Error,technical_support,false,,,,very short message,[]
this iz not wot i paid 4,complaint,false,,,,spelling/noisy text,"[""noisy""]"
I'm happy with product but angry at support.,complaint,false,,,,bulk addition 3,"[""multi_intent""]"
How long does it take to set up custom fields?,general_question,false,,,,bulk addition 4,"[""standard""]"
This issue has been open for 3 weeks. Escalate now.,complaint,true,,,,bulk addition 3,"[""escalation_positive""]"
Can two-factor authentication be disabled?,general_question,false,,,,bulk addition 4,"[""standard""]"
Complaint here,complaint,false,,,,very short message,[]
Can I set up drip campaigns?,product_question,false,,,,product feature question,"[""standard""]"
I'm not paying for a service I can't use. Refund now.,refund,true,,,,bulk addition,"[""standard""]"
What do I need to know about the template system?,general_question,false,,,,bulk addition 4,"[""standard""]"
GST included hai price mein?,pricing,false,,,,hinglish pricing,"[""hinglish""]"
I can't attach files larger than 1MB even though my limit is 10MB.,technical_support,false,,,,bulk addition,"[""standard""]"
Account issue and refund request both.,refund,true,,,,bulk addition 5,"[""multi_intent""]"
Is there a tutorial for custom fields?,general_question,false,,,,bulk addition 4,"[""standard""]"
cnt login to my acc,account_issue,false,,,,spelling/noisy text,"[""noisy""]"
The notification system is not working.,technical_support,false,,,,bulk addition 4,"[""standard""]"
I need a custom enterprise agreement.,sales,false,,,,bulk addition 5,"[""standard""]"
I want to talk to sales about custom requirements.,sales,false,,,,purchase intent,"[""standard"", ""sales""]"
Isme lead scoring automatic hai?,product_question,false,,,,hinglish product question,"[""hinglish""]"
Put me on the annual billing cycle.,sales,false,,,,purchase intent,"[""standard"", ""sales""]"
Bulk upload feature processes only 10 records at a time.,technical_support,false,,,,technical issue,"[""standard"", ""technical""]"
How much for API access add-on?,pricing,false,,,,pricing question,"[""standard"", ""pricing""]"
Itne paise mein aur aaisa experience.,complaint,false,,,,hinglish complaint,"[""hinglish""]"
What's the price per additional seat?,pricing,false,,,,bulk addition 3,"[""standard""]"
I get an error when using The search bar.,technical_support,false,,,,bulk addition 4,"[""standard""]"
Does the basic plan include analytics?,product_question,false,,,,product feature question,"[""standard""]"
Can you recommend a good movie?,other,false,,,,other / off-topic,"[""standard"", ""other""]"
Is this a product question or just general info?,general_question,false,,,,confusion pair example,"[""confusion_pair""]"
Mai 2 saal se customer hu. Aisa treatment nahi deserve karta.,complaint,true,,,,bulk addition,"[""hinglish""]"
How do I contact support urgently?,general_question,false,,,,bulk addition,"[""standard""]"
i cant find the settngs buton,technical_support,false,,,,spelling/noisy text,"[""noisy""]"
Where is my refund? It's been 15 business days!,refund,true,,,,bulk addition 2,"[""escalation_positive""]"
My export keeps failing with an unknown error.,technical_support,false,,,,technical issue,"[""standard"", ""technical""]"
Is this a sales inquiry or just product info?,general_question,false,,,,bulk addition,"[""confusion_pair""]"
Keep up the good work.,other,false,,,,bulk addition,"[""standard""]"
Kya mai apna plan downgrade kar sakta hu?,pricing,false,,,,hinglish example,"[""hinglish""]"
Bilkul bekar service.,complaint,false,,,,hinglish complaint,"[""hinglish""]"
kya free trial ke liye credit card chahiye?,general_question,false,,,,hinglish general question,"[""hinglish""]"
Email delivery is showing incorrect data.,technical_support,false,,,,bulk addition 4,"[""standard""]"
the dasboard is showin rong data,technical_support,false,,,,spelling/noisy text,"[""noisy""]"
I've sent five emails and nobody has replied.,complaint,true,,,,escalation hard positive,"[""escalation_positive"", ""hard_positive""]"
Account inactive dikha raha hai despite payment.,account_issue,false,,,,hinglish account issue,"[""hinglish""]"
Can you help me fix The drag and drop editor?,technical_support,false,,,,bulk addition 4,"[""standard""]"
Where can I find documentation about user permissions?,general_question,false,,,,bulk addition 4,"[""standard""]"
What's the pricing for the mobile app?,pricing,false,,,,bulk addition 4,"[""standard""]"
The integration with Slack disconnected again.,technical_support,false,,,,technical issue,"[""standard"", ""technical""]"
Aapne mujhe wrong plan charge kar diya.,pricing,true,,,,bulk addition 2,"[""hinglish""]"
I'm not going to stop until this is fixed properly.,complaint,true,,,,bulk addition 2,"[""escalation_positive""]"
I don't need a call. Really. Just a simple reply.,general_question,false,,,,bulk addition 5,"[""hard_negative_escalation""]"
Can I customize the color scheme?,product_question,false,,,,bulk addition 3,"[""standard""]"
Please do not call me. Email the details instead.,general_question,false,,,,escalation hard negative,"[""hard_negative_escalation""]"
The mobile app freezes on the login screen.,technical_support,false,,,,technical issue,"[""standard"", ""technical""]"
Can I export my data?,general_question,false,,,,general info question,"[""standard""]"
No call back required. Email is fine.,general_question,false,,,,bulk addition,"[""hard_negative_escalation""]"
I'm going to complain to the regulator if not fixed.,complaint,true,,,,bulk addition 2,"[""escalation_positive""]"
Mujhe lagta hai aap log seriously nahi le rahe.,complaint,true,,,,escalation hard positive,"[""escalation_positive"", ""hard_positive""]"
Just saying thank you.,other,false,,,,bulk addition,"[""standard""]"
Aapne mujhe block kyu kar diya? Unblock karo.,account_issue,true,,,,hinglish example,"[""hinglish""]"
how can i upgrade my plan,sales,false,,,,spelling/noisy text,"[""noisy""]"
Issue resolved itself. Close my support ticket.,technical_support,false,,,,bulk addition 3,"[""hard_negative_escalation""]"
What does your company do exactly?,general_question,false,,,,confusion pair example,"[""confusion_pair""]"
Can I speak with someone about purchasing?,sales,false,,,,purchase intent,"[""standard"", ""sales""]"
Mujhe annual plan lena hai. Discount do.,sales,false,,,,hinglish example,"[""hinglish""]"
What browsers do you support?,general_question,false,,,,general info question,"[""standard""]"
Speak to human,human_request,true,,,,very short message,[]
I want to cancel and get my money back right now.,refund,true,,,,refund demand,"[""escalation_positive"", ""refund""]"
Aapka mobile app Android pe kyun nahi chal raha?,technical_support,false,,,,hinglish example,"[""hinglish""]"
Kya volume discount available hai?,pricing,false,,,,hinglish pricing,"[""hinglish""]"
Is the import tool available in all plans?,general_question,false,,,,bulk addition 4,"[""standard""]"
I'm this close to reporting you to the better business bureau.,complaint,true,,,,escalation hard positive,"[""escalation_positive"", ""hard_positive""]"
Images uploaded are showing as broken links.,technical_support,false,,,,technical issue,"[""standard"", ""technical""]"
My account was flagged for suspicious activity.,account_issue,true,,,,bulk addition 2,"[""standard""]"
Is there a tutorial for audit logging?,general_question,false,,,,bulk addition 4,"[""standard""]"
My business operations are halted because of you.,technical_support,true,,,,bulk addition 2,"[""escalation_positive""]"
Do you offer usage-based pricing?,pricing,false,,,,pricing question,"[""standard"", ""pricing""]"
Need a quote for 200 users annual.,sales,false,,,,bulk addition 3,"[""standard""]"
I'm having trouble with The CSV importer.,technical_support,false,,,,bulk addition 4,"[""standard""]"
Hi,other,false,,,,very short message,[]
Can you help me migrate from my current provider?,sales,false,,,,purchase intent,"[""standard"", ""sales""]"
How much for the enterprise add-on?,pricing,false,,,,bulk addition 4,"[""standard""]"
Do you like pizza?,other,false,,,,other / off-topic,"[""standard"", ""other""]"
I'm writing to formally request a full refund for my annual subscription. I signed up for the enterprise plan on January 15th based on the sales team's promises about features that were supposedly available. After three months of usage I have discovered that at least 5 major features that were promised are either not implemented or work very differently than described. I have raised multiple support tickets about this but have been told that these features are on the roadmap. That is not acceptable when I paid for features that were supposed to exist now. I expect my full payment of $2999 to be refunded within 14 business days as per your own policy. If I do not receive confirmation by next week I will initiate a chargeback through my bank.,refund,true,,,,long message,"[""long""]"
Is there a tutorial for the import tool?,general_question,false,,,,bulk addition 4,"[""standard""]"
The user interface is counterintuitive.,product_question,false,,,,bulk addition 3,"[""standard""]"
Can I use your platform for free forever?,general_question,false,,,,bulk addition,"[""standard""]"
Can I see a detailed pricing breakdown?,pricing,false,,,,pricing question,"[""standard"", ""pricing""]"
Can you help me fix The search bar?,technical_support,false,,,,bulk addition 4,"[""standard""]"
Payment failed but paisa kat gaya. Double problem.,technical_support,true,,,,hinglish example,"[""hinglish""]"
How much for custom reporting?,pricing,false,,,,bulk addition 4,"[""standard""]"
Send me pricing and also tell me about features.,pricing,false,,,,bulk addition,"[""multi_intent""]"
u guys chargd my card rong amount,refund,true,,,,bulk addition 5,"[""noisy""]"
I want to talk to a customer service representative.,human_request,true,,,,human request,"[""escalation_positive"", ""human_request""]"
Can I create custom user roles?,product_question,false,,,,bulk addition 2,"[""standard""]"
Is there a mobile app for tablets?,general_question,false,,,,general info question,"[""standard""]"
This is the most frustrating experience.,complaint,false,,,,bulk addition 3,"[""standard""]"
i want 2 spek to a manager,human_request,true,,,,spelling/noisy text,"[""noisy""]"
The API endpoint is broken after the latest update.,technical_support,false,,,,bulk addition 4,"[""standard""]"
refund my mony or i su,refund,true,,,,spelling/noisy text,"[""noisy""]"
Password reset link kaam nahi kar raha.,account_issue,false,,,,hinglish account issue,"[""hinglish""]"
Bot useless hai. Insaan do.,human_request,true,,,,hinglish human request,"[""hinglish"", ""escalation_positive"", ""human_request""]"
Can I set up SLA rules?,product_question,false,,,,bulk addition,"[""standard""]"
I get an error when using My workflow automation.,technical_support,false,,,,bulk addition 4,"[""standard""]"
I want to speak to a manager about your terrible service.,human_request,true,,,,confusion pair example,"[""confusion_pair""]"
Auto-save kaam nahi kar raha. Data loss ho raha hai.,technical_support,true,,,,hinglish example,"[""hinglish""]"
What security certifications do you have?,general_question,false,,,,general info question,"[""standard""]"
I have been a loyal customer for 2 years and this is how you treat me?,complaint,true,,,,escalation hard positive,"[""escalation_positive"", ""hard_positive""]"
aap kya karte ho exactly?,general_question,false,,,,hinglish general question,"[""hinglish""]"
This is not worth the money I paid.,complaint,false,,,,general complaint,"[""standard"", ""complaint""]"
Auto-save feature kaam nahi kar raha.,technical_support,false,,,,hinglish technical support,"[""hinglish""]"
Charts galat data dikha rahe hain.,technical_support,false,,,,hinglish technical support,"[""hinglish""]"
My payment failed yesterday but it's working now.,technical_support,false,,,,multi-intent example,"[""multi_intent""]"
Is the enterprise add-on included in the base price?,pricing,false,,,,bulk addition 4,"[""standard""]"
I cannot delete a ticket that was created by mistake.,technical_support,false,,,,bulk addition,"[""standard""]"
You guys don't care about your customers at all.,complaint,false,,,,general complaint,"[""standard"", ""complaint""]"
Please ignore my previous message. Resolved.,other,false,,,,bulk addition 2,"[""hard_negative_escalation""]"
I want to talk to a person who handles billing issues.,pricing,false,,,,bulk addition 5,"[""confusion_pair""]"
I have a sales inquiry but I'm also frustrated.,sales,false,,,,bulk addition 3,"[""confusion_pair""]"
team members kaise invite kare?,general_question,false,,,,general info question,"[""standard""]"
I need 25 licenses for my department.,sales,false,,,,bulk addition,"[""standard""]"
Mai aapka product 2 saal se use kar raha hu.,general_question,false,,,,bulk addition 2,"[""hinglish""]"
Do you support SAML/SSO?,general_question,false,,,,general info question,"[""standard""]"
Can you explain email notifications?,general_question,false,,,,bulk addition 4,"[""standard""]"
How do I reset my password?,general_question,false,,,,general info question,"[""standard""]"
I wanted to report a bug but also ask about something else. The bug is that when I try to export my report as PDF the formatting is completely messed up. Tables are overlapping and the fonts are all wrong. This used to work fine a few weeks ago. Also I was wondering if you have plans to add more chart types in the future? A radar chart would be really useful for my team. But the main thing is the PDF export bug which is affecting my weekly reporting.,technical_support,false,,,,long message,"[""long""]"
You overpromise and underdeliver constantly.,complaint,false,,,,general complaint,"[""standard"", ""complaint""]"
I'm not sure if I need support or I should just cancel.,general_question,false,,,,bulk addition 5,"[""confusion_pair""]"
How much for add-on features?,pricing,false,,,,pricing question,"[""standard"", ""pricing""]"
What's the cheapest option?,pricing,false,,,,pricing question,"[""standard"", ""pricing""]"
Kisi ko call mat karo. Bas price bata do.,pricing,false,,,,escalation hard negative,"[""hard_negative_escalation""]"
Email spam folder mein ja rahi hai.,technical_support,false,,,,hinglish technical support,"[""hinglish""]"
Can I share dashboards with clients?,general_question,false,,,,bulk addition 2,"[""standard""]"
Do I need to configure audit logging manually?,general_question,false,,,,bulk addition 4,"[""standard""]"
Mene 2 bar pay kar diya. Ek refund karo.,refund,true,,,,bulk addition,"[""hinglish""]"
Please do not call me. Just fix the issue silently.,technical_support,false,,,,bulk addition,"[""hard_negative_escalation""]"
What is 2+2?,other,false,,,,confusion pair example,"[""confusion_pair""]"
Can role management be disabled?,general_question,false,,,,bulk addition 4,"[""standard""]"
Can I pay quarterly instead of monthly?,pricing,false,,,,bulk addition,"[""standard""]"
The CSV importer keeps failing.,technical_support,false,,,,bulk addition 4,"[""standard""]"
My manager is asking for an update. I have nothing to tell them.,complaint,true,,,,escalation hard positive,"[""escalation_positive"", ""hard_positive""]"
Is SSO integration included in the base price?,pricing,false,,,,bulk addition 4,"[""standard""]"
Where can I find documentation about role management?,general_question,false,,,,bulk addition 4,"[""standard""]"
Do accounts merge karne hain.,account_issue,false,,,,hinglish account issue,"[""hinglish""]"
I demand to talk to a senior support member.,human_request,true,,,,bulk addition 3,"[""standard""]"
I demand to speak with a customer service representative immediately.,human_request,true,,,,bulk addition,"[""standard""]"
Email delivery is delayed by 6 hours.,technical_support,false,,,,bulk addition 3,"[""standard""]"
Zero stars. Would not recommend to anyone.,complaint,false,,,,general complaint,"[""standard"", ""complaint""]"
Can I transfer my account to someone else?,general_question,false,,,,general info question,"[""standard""]"
Login button is not working properly.,technical_support,false,,,,technical issue,"[""standard"", ""technical""]"
Two saal ka plan kitna hai?,pricing,false,,,,hinglish pricing,"[""hinglish""]"
i was chargd aftr i canclld refund,refund,true,,,,bulk addition 3,"[""noisy""]"
Your service is amazing but expensive. Any discounts?,pricing,false,,,,bulk addition,"[""multi_intent""]"
What do I need to know about real-time sync?,general_question,false,,,,bulk addition 4,"[""standard""]"
SSO login wrong account pe redirect kar raha hai.,account_issue,false,,,,hinglish account issue,"[""hinglish""]"
Real person connect karo please.,human_request,true,,,,human request,"[""escalation_positive"", ""human_request""]"
Can you explain the reporting module?,general_question,false,,,,bulk addition 4,"[""standard""]"
