text,intent,escalation_required,language_style,difficulty,scenario_type,notes,tags
Is there funnel analytics?,product_question,false,,,,product feature question,"[""standard""]"
the notifcation icon is not showng,technical_support,false,,,,spelling/noisy text,"[""noisy""]"
Can someone please call me regarding my account?,human_request,true,,,,bulk addition,"[""standard""]"
The template preview is showing incorrect data.,technical_support,false,,,,bulk addition 4,"[""standard""]"
Overcharged,pricing,true,,,,very short message,[]
Is there a way to preview before publishing?,general_question,false,,,,bulk addition,"[""standard""]"
Is there a way to billing alerts?,general_question,false,,,,v3 bulk gq2,"[""standard""]"
Maine bahut patience dikhaya but ab limit aa gayi. Senior ko bulao.,complaint,true,,,,v3 bulk esc+,"[""escalation_positive"", ""hinglish""]"
Not looking for support. Just clarification.,general_question,false,,,,bulk addition,"[""hard_negative_escalation""]"
Account email change nahi kar sakta.,account_issue,false,,,,hinglish account issue,"[""hinglish""]"
the app is not respnding wen i tap,technical_support,false,,,,v4 noisy,"[""noisy""]"
Refund my money immediately or I will file a complaint.,refund,true,,,,v3 balance3,"[""standard""]"
kya mein apna plan change kar sakta hu,pricing,false,,,,,"[""hinglish""]"
Maine galati se delete kar diya account. Help.,account_issue,true,,,,hinglish example,"[""hinglish""]"
Can you guide me through the file manager?,general_question,false,,,,v3 bulk gq3,"[""standard""]"
I've tried everything in your knowledge base. Nothing works.,technical_support,true,,,,v3 esc hard pos,"[""escalation_positive""]"
The migration issue is resolved. Works perfectly.,technical_support,false,,,,v3 resolution,"[""resolution_state""]"
i needa tlk to a hooman,human_request,true,,,,spelling/noisy text,"[""noisy""]"
I want to speak to the sales team about purchasing,sales,false,,,,v3 confusion: human vs sales,"[""standard""]"
I expect a personal phone call to discuss this matter.,human_request,true,,,,v3 bulk esc+,"[""escalation_positive""]"
mera email change nahi ho raha help karo,account_issue,false,,,,,"[""hinglish""]"
How do I get a refund?,refund,false,,,,v3 info vs action,"[""standard""]"
Payment kat gaya but account activate nahi hua.,technical_support,true,,,,hinglish example,"[""hinglish""]"
I have been a customer for 5 years and I deserve better.,complaint,true,,,,bulk addition 3,"[""escalation_positive""]"
How much does the premium plan cost?,pricing,false,,,,v3 confusion: pricing vs sales,"[""standard""]"
Refund request and also need help with account closure,refund,true,,,,v3 multi-intent,"[""multi_intent""]"
Not a support ticket. This is a suggestion.,other,false,,,,v4 negation,"[""negation""]"
aapke yaha free trial kitne din ka hai,general_question,false,,,,v3 bulk hinglish,"[""hinglish""]"
How do I configure the file manager?,general_question,false,,,,v3 bulk gq3,"[""standard""]"
mera account kaise reactivate kare,account_issue,false,,,,,"[""hinglish""]"
This is more urgent than my previous messages indicate.,technical_support,true,,,,v3 bulk esc+,"[""escalation_positive""]"
I want to buy but your site keeps crashing during checkout,sales,true,,,,v3 multi-intent,"[""multi_intent""]"
Get me a human on the line immediately,human_request,true,,,,v3 confusion: human vs sales,"[""standard""]"
i cnt find the upgarde option anywher in my accnt,sales,false,,,,v3 bulk noisy3,"[""noisy""]"
Aapki vajah se mera client loss ho raha hai.,complaint,true,,,,escalation hard positive,"[""escalation_positive"", ""hard_positive""]"
Your platform is interesting.,other,false,,,,v3 balance,"[""standard""]"
mujhe koi experienced person se baat karni hai,human_request,true,,,,,"[""hinglish""]"
I need information about the file manager.,general_question,false,,,,v3 bulk gq3,"[""standard""]"
"I want actual human interaction, not automated replies.",human_request,true,,,,human request,"[""escalation_positive"", ""human_request""]"
wht is the price for aditional users,pricing,false,,,,v3 bulk noisy,"[""noisy""]"
Tell me the price or connect me to sales.,pricing,false,,,,bulk addition 2,"[""confusion_pair""]"
Email delivery is delayed by hours.,technical_support,false,,,,technical issue,"[""standard"", ""technical""]"
Very bad experience.,complaint,false,,,,v4 short,"[""standard""]"
Keep up the good work.,other,false,,,,bulk addition,"[""standard""]"
How is data storage priced?,pricing,false,,,,v3 bulk pricing2,"[""standard"", ""pricing""]"
Everything is working now. You can close my ticket.,technical_support,false,,,,v3 resolution,"[""resolution_state""]"
What is the cost of priority support?,pricing,false,,,,v3 bulk pricing,"[""standard"", ""pricing""]"
What happens when my subscription expires?,general_question,false,,,,general info question,"[""standard""]"
mera plan renewal ka reminder bhejo,general_question,false,,,,v3 bulk hinglish3,"[""hinglish""]"
the app is to slow,technical_support,false,,,,v3 noisy,"[""noisy""]"
My entire department is unable to work because of your bug.,technical_support,true,,,,bulk addition 5,"[""escalation_positive""]"
the list view is giving me trouble.,technical_support,false,,,,v3 bulk tech3,"[""standard"", ""technical""]"
I'm tired of your broken promises.,complaint,false,,,,bulk addition,"[""standard""]"
I was angry earlier but the issue has been resolved,complaint,false,,,,v3 multi-intent,"[""multi_intent"", ""resolution_state""]"
What is the purpose of password policies?,general_question,false,,,,v3 bulk gq2,"[""standard""]"
Mera payment fail ho gaya but paisa kat liya.,technical_support,true,,,,bulk addition 2,"[""hinglish""]"
kya Linux support hai?,general_question,false,,,,hinglish general question,"[""hinglish""]"
kya audit logging available hai?,product_question,false,,,,hinglish product question,"[""hinglish""]"
Is there a way to import features?,general_question,false,,,,v3 bulk gq2,"[""standard""]"
How often is data backed up?,general_question,false,,,,general info question,"[""standard""]"
the dashbord is showin rong data,technical_support,false,,,,v3 noisy,"[""noisy""]"
The drag and drop editor is not loading properly.,technical_support,false,,,,v3 bulk tech,"[""standard"", ""technical""]"
Do not contact me about this issue. Ever.,general_question,false,,,,v3 negation,"[""negation""]"
Mujhe training chahiye product ki. Kya facility hai?,product_question,false,,,,hinglish example,"[""hinglish""]"
I do not wish to speak to anyone. Text only.,general_question,false,,,,v4 esc-,"[""hard_negative_escalation""]"
I can't send emails through your platform.,technical_support,false,,,,technical issue,"[""standard"", ""technical""]"
Mai 2 saal se customer hu. Aisa treatment nahi deserve karta.,complaint,true,,,,bulk addition,"[""hinglish""]"
Your system deleted my data without any warning.,technical_support,true,,,,v3 esc hard pos,"[""escalation_positive""]"
Where can I find documentation about user permissions?,general_question,false,,,,v3 bulk gq,"[""standard""]"
I need a solution within the next 2 hours.,technical_support,true,,,,bulk addition 3,"[""escalation_positive""]"
the app keepz crashin wen i uplod,technical_support,false,,,,spelling/noisy text,"[""noisy""]"
The user import feature seems to be broken.,technical_support,false,,,,v3 bulk tech2,"[""standard"", ""technical""]"
aapne mera support ticket close kyun kar diya,complaint,true,,,,v3 bulk hinglish3,"[""hinglish""]"
I need information about privacy settings.,general_question,false,,,,v3 bulk gq3,"[""standard""]"
Do you offer different pricing tiers for training sessions?,pricing,false,,,,v3 bulk pricing2,"[""standard"", ""pricing""]"
Someone logged into my account from a different country.,account_issue,true,,,,v3 esc hard pos,"[""escalation_positive""]"
Aapki vajah se mera client loss ho raha hai. Immediate action lo.,complaint,true,,,,v3 esc hard pos hinglish,"[""escalation_positive"", ""hinglish""]"
Can someone help me with my account? Also what plans do you have?,account_issue,false,,,,v3 bulk multi,"[""multi_intent""]"
maine problem report ki thi lekin ab solve ho gayi,technical_support,false,,,,v4 hinglish,"[""hinglish"", ""resolution_state""]"
Do not contact me. I will contact you if I need help.,general_question,false,,,,v3 bulk esc-,"[""hard_negative_escalation""]"
How much for custom reporting?,pricing,false,,,,bulk addition 4,"[""standard""]"
Password change confirmation email not received.,account_issue,false,,,,account issue,"[""standard"", ""account""]"
Can you explain the refund policy and also your pricing?,general_question,false,,,,multi-intent example,"[""multi_intent""]"
mujhe aapke software ke source code access chahiye,other,false,,,,v3 bulk hinglish,"[""hinglish""]"
Can I create a team workspace?,general_question,false,,,,general info question,"[""standard""]"
How long does it take to set up multi-factor auth?,general_question,false,,,,v3 bulk gq,"[""standard""]"
I want to cancel and get my money back right now.,refund,true,,,,refund demand,"[""escalation_positive"", ""refund""]"
Encountering problems with the calendar view.,technical_support,false,,,,v3 bulk tech3,"[""standard"", ""technical""]"
mujhe aapke product ke baare mein aur jaanna hai,general_question,false,,,,v4 hinglish,"[""hinglish""]"
How do I set up custom branding?,general_question,false,,,,v3 bulk gq2,"[""standard""]"
Activate premium support for my account now.,sales,false,,,,v3 bulk infoact,"[""standard""]"
the list view has a bug that needs fixing.,technical_support,false,,,,v3 bulk tech3,"[""standard"", ""technical""]"
aapki app Hindi mein available hai kya,product_question,false,,,,,"[""hinglish""]"
I was upset but your team fixed everything. All good now.,complaint,false,,,,v3 bulk resolution,"[""resolution_state""]"
I can't switch between my workspace accounts.,account_issue,false,,,,account issue,"[""standard"", ""account""]"
How does the trial compare to full version?,pricing,false,,,,bulk addition 3,"[""standard""]"
mera invoice kab generate hoga,pricing,false,,,,v3 bulk hinglish,"[""hinglish""]"
Payment double charge ho gaya. Paisa wapas karo.,refund,true,,,,hinglish example,"[""hinglish""]"
The integration keeps dropping connection every 10 minutes,technical_support,false,,,,v3 confusion: tech vs complaint,"[""standard""]"
the payment page is nt loading on mobil,technical_support,false,,,,v3 bulk noisy3,"[""noisy""]"
How much for API access add-on?,pricing,false,,,,pricing question,"[""standard"", ""pricing""]"
i wnt 2 spek to a manager,human_request,true,,,,v3 noisy,"[""noisy""]"
This needs to be treated as a P0 incident immediately.,technical_support,true,,,,v3 bulk esc+,"[""escalation_positive""]"
I need to talk to a real person about my problem,human_request,true,,,,v3 confusion: human vs sales,"[""standard""]"
File upload is not loading properly.,technical_support,false,,,,bulk addition 4,"[""standard""]"
What are the costs associated with premium features?,pricing,false,,,,v3 bulk pricing2,"[""standard"", ""pricing""]"
Angry about billing but love the product.,pricing,false,,,,bulk addition 2,"[""multi_intent""]"
Mera number change ho gaya. Account mein update karo.,account_issue,false,,,,hinglish example,"[""hinglish""]"
Can you explain how account cancellation works?,general_question,false,,,,v3 info vs action,"[""standard""]"
I want my money back.,refund,true,,,,refund demand,"[""escalation_positive"", ""refund""]"
The data filtering feature seems to be broken.,technical_support,false,,,,v3 bulk tech2,"[""standard"", ""technical""]"
kya aapke yaha EMI option hai,pricing,false,,,,,"[""hinglish""]"
How long does it take to set up performance monitoring?,general_question,false,,,,v3 bulk gq,"[""standard""]"
Widgets on the dashboard are not loading.,technical_support,false,,,,technical issue,"[""standard"", ""technical""]"
Can I customize notification templates?,product_question,false,,,,product feature question,"[""standard""]"
i wnt 2 speek to a reel person,human_request,true,,,,spelling/noisy text,"[""noisy""]"
Per seat charge karte ho ya flat rate?,pricing,false,,,,hinglish pricing,"[""hinglish""]"
this iz not wot i paid 4,complaint,false,,,,spelling/noisy text,"[""noisy""]"
I am unable to use the template editor correctly.,technical_support,false,,,,v3 bulk tech3,"[""standard"", ""technical""]"
Is there a tutorial for performance monitoring?,general_question,false,,,,v3 bulk gq,"[""standard""]"
How's your day?,other,false,,,,other / off-topic,"[""standard"", ""other""]"
How do I set up password policies?,general_question,false,,,,v3 bulk gq2,"[""standard""]"
Can I customize user invitations?,general_question,false,,,,v3 bulk gq2,"[""standard""]"
"I wanted to ask about something before I make a purchase decision. Your premium plan seems to have a lot of features that I'm interested in, especially the API access and the advanced analytics capabilities. However, I noticed that the pricing page doesn't clearly mention whether there are any additional costs for API calls beyond a certain limit. Could you please clarify this for me? Also, do you offer any kind of migration assistance for customers who are switching from a different platform? I would appreciate a detailed response as I'm evaluating multiple options right now.",product_question,false,,,,long message,"[""long""]"
Just browsing. Thanks!,other,false,,,,v3 balance,"[""standard""]"
Mujhe enterprise plan ka quote chahiye,pricing,false,,,,hinglish pricing,"[""hinglish""]"
My workflow automation is not loading properly.,technical_support,false,,,,v3 bulk tech,"[""standard"", ""technical""]"
Do you have a mobile-responsive interface?,product_question,false,,,,product feature question,"[""standard""]"
Are upgrades free within the same tier?,pricing,false,,,,bulk addition 2,"[""standard""]"
This needs a human touch. Please transfer.,human_request,true,,,,bulk addition,"[""standard""]"
What are the benefits of team management?,general_question,false,,,,v3 bulk gq,"[""standard""]"
Kisi aur ne mera account access kiya.,account_issue,false,,,,hinglish account issue,"[""hinglish""]"
mujhe apni billing history dekhni hai,pricing,false,,,,,"[""hinglish""]"
I cannot proceed with my work until this is resolved.,technical_support,true,,,,v3 bulk esc+,"[""escalation_positive""]"
Refund chahiye aur account bhi delete karo.,refund,true,,,,bulk addition 2,"[""multi_intent""]"
I don't need anyone to follow up. Thanks.,general_question,false,,,,bulk addition 2,"[""hard_negative_escalation""]"
Where can I find documentation about real-time sync?,general_question,false,,,,v3 bulk gq,"[""standard""]"
Meri email notification nahi aa rahi.,technical_support,false,,,,hinglish example,"[""hinglish""]"
Can I embed dashboards on my site?,product_question,false,,,,product feature question,"[""standard""]"
Having issues with real-time updates.,technical_support,false,,,,v3 bulk tech2,"[""standard"", ""technical""]"
Mai aapka product 2 saal se use kar raha hu.,general_question,false,,,,bulk addition 2,"[""hinglish""]"
How does the analytics dashboard work in your platform?,general_question,false,,,,v3 bulk gq,"[""standard""]"
mera data kab tak recover hoga,technical_support,true,,,,,"[""hinglish""]"
Mai aapka customer banna chahta hu.,sales,false,,,,hinglish sales,"[""hinglish""]"
user import is malfunctioning.,technical_support,false,,,,v3 bulk tech2,"[""standard"", ""technical""]"
aapki services ke baare mein batao?,general_question,false,,,,hinglish general question,"[""hinglish""]"
the inline editor has a bug that needs fixing.,technical_support,false,,,,v3 bulk tech3,"[""standard"", ""technical""]"
I demand immediate compensation for damages.,refund,true,,,,bulk addition 3,"[""escalation_positive""]"
Kya?,other,false,,,,very short message,[]
Is email notifications available in all plans?,general_question,false,,,,bulk addition 4,"[""standard""]"
Having issues with email parser.,technical_support,false,,,,v3 bulk tech2,"[""standard"", ""technical""]"
Is there a price lock for annual subscribers?,pricing,false,,,,bulk addition 2,"[""standard""]"
aapke yaha bulk user upload ka feature hai,product_question,false,,,,v3 bulk hinglish,"[""hinglish""]"
Account issue and refund request both.,refund,true,,,,bulk addition 5,"[""multi_intent""]"
thx for ur help i apreciate it,other,false,,,,bulk addition,"[""noisy""]"
I have been a paying customer for 3 years and this is unacceptable.,complaint,true,,,,v3 bulk esc+,"[""escalation_positive""]"
I don't have an account and I'm just browsing.,other,false,,,,bulk addition 5,"[""standard""]"
Is the price negotiable for large teams?,pricing,false,,,,bulk addition,"[""standard""]"
My account shows 'suspended' but I paid yesterday.,account_issue,true,,,,bulk addition,"[""standard""]"
I need an emergency patch deployed to production.,technical_support,true,,,,v3 esc hard pos,"[""escalation_positive""]"
real-time updates is causing errors in my workflow.,technical_support,false,,,,v3 bulk tech2,"[""standard"", ""technical""]"
How do I view my team's activity log?,general_question,false,,,,v3 balance3,"[""standard""]"
Are there any transaction fees?,pricing,false,,,,pricing question,"[""standard"", ""pricing""]"
Is there a drag-and-drop form builder?,product_question,false,,,,v3 balance3,"[""standard""]"
I demand a refund for the last three months.,refund,true,,,,refund demand,"[""escalation_positive"", ""refund""]"
Refund request for poor service and also want to cancel.,refund,true,,,,v3 bulk multi3,"[""multi_intent""]"
wher can i see my invoce,pricing,false,,,,v3 noisy,"[""noisy""]"
dashboard export is causing errors in my workflow.,technical_support,false,,,,v3 bulk tech2,"[""standard"", ""technical""]"
Does the product support real-time collaboration?,product_question,false,,,,product feature question,"[""standard""]"
How many employees do you have?,general_question,false,,,,confusion pair example,"[""confusion_pair""]"
Fix the 500 error on my dashboard now.,technical_support,true,,,,v3 info vs action,"[""standard""]"
If this continues I will take legal recourse.,complaint,true,,,,bulk addition 3,"[""escalation_positive""]"
Can you explain billing?,general_question,false,,,,v3 bulk gq,"[""standard""]"
I am filing a formal complaint with your compliance department.,complaint,true,,,,v3 bulk esc+,"[""escalation_positive""]"
Can I speak to a manager?,human_request,true,,,,human request,"[""escalation_positive"", ""human_request""]"
I'm seeing someone else's data in my account.,account_issue,false,,,,account issue,"[""standard"", ""account""]"
No urgent action needed. Take your time.,general_question,false,,,,v3 negation,"[""negation""]"
How is your day going?,other,false,,,,bulk addition 3,"[""standard""]"
What is your refund policy?,general_question,false,,,,v3 info vs action,"[""standard""]"
Aaj customer khoya hai aapne.,complaint,false,,,,hinglish complaint,"[""hinglish""]"
I expect a call back within the next hour. This is unacceptable.,human_request,true,,,,escalation hard positive,"[""escalation_positive"", ""hard_positive""]"
mera trial khatam hone wala hai kya karna hoga,general_question,false,,,,,"[""hinglish""]"
Nobody needs to contact me. I just have a question.,general_question,false,,,,escalation hard negative,"[""hard_negative_escalation""]"
I want to cancel. Process it.,sales,false,,,,v3 info vs action,"[""standard""]"
Does your platform support webhooks for real-time updates?,product_question,false,,,,v3 balance,"[""standard""]"
This is false advertising. Your product does not match claims.,complaint,false,,,,v3 balance3,"[""standard""]"
koi support person se baat karwa do,human_request,true,,,,,"[""hinglish""]"
I need a guaranteed resolution by tomorrow morning.,technical_support,true,,,,v4 esc+,"[""escalation_positive""]"
How do I set up profile visibility?,general_question,false,,,,v3 bulk gq2,"[""standard""]"
The reporting dashboard stopped working suddenly.,technical_support,false,,,,bulk addition 4,"[""standard""]"
Isme lead scoring automatic hai?,product_question,false,,,,hinglish product question,"[""hinglish""]"
Please cancel my subscription and refund the remaining amount.,refund,true,,,,v3 balance,"[""standard""]"
How long does it take to set up content scheduling?,general_question,false,,,,v3 bulk gq,"[""standard""]"
I don't need further assistance. Issue is resolved.,technical_support,false,,,,v3 resolution,"[""resolution_state""]"
mujhe aapke yaha se certificate chahiye service ke liye,other,false,,,,v3 bulk hinglish3,"[""hinglish""]"
How does user permissions work in your platform?,general_question,false,,,,bulk addition 4,"[""standard""]"
If this is not resolved today I'm switching to your competitor.,complaint,true,,,,escalation hard positive,"[""escalation_positive"", ""hard_positive""]"
mera account ka status check karo,account_issue,false,,,,v3 bulk hinglish,"[""hinglish""]"
The progress bar is stuck at 99%.,technical_support,false,,,,bulk addition 5,"[""standard""]"
aapne mujhe galat features bataye the sales team ne,complaint,false,,,,,"[""hinglish""]"
i wnt to knw the price of premium,pricing,false,,,,v4 noisy,"[""noisy""]"
aapne mujhe refund ka email kyun nahi bheja,refund,false,,,,v4 hinglish,"[""hinglish""]"
the grid view has a bug that needs fixing.,technical_support,false,,,,v3 bulk tech3,"[""standard"", ""technical""]"
Mujhe aapke product mein kuch features add karne hain. Kya aap custom development support karte ho?,product_question,false,,,,cross 2000,"[""hinglish""]"
We are ready to purchase. Send me the contract.,sales,false,,,,v3 confusion: pricing vs sales,"[""standard""]"
How does the dashboard work in your platform?,general_question,false,,,,v3 bulk gq,"[""standard""]"
I want to add the API add-on to my existing plan.,sales,false,,,,bulk addition,"[""standard""]"
What is the purpose of custom branding?,general_question,false,,,,v3 bulk gq2,"[""standard""]"
Is there a trial for the enterprise plan?,general_question,false,,,,bulk addition,"[""standard""]"
👍,other,false,,,,other / off-topic,"[""standard"", ""other""]"
Can you explain the refund policy and also your pricing,general_question,false,,,,v3 multi-intent,"[""multi_intent""]"
I need both technical support and a refund for the downtime,refund,true,,,,v3 multi-intent,"[""multi_intent""]"
mera password reset link kab tak aayega,account_issue,false,,,,v3 bulk hinglish,"[""hinglish""]"
I want to complain about billing and get it fixed.,pricing,false,,,,v3 bulk multi3,"[""multi_intent""]"
Can I customize keyboard shortcuts?,general_question,false,,,,v3 bulk gq2,"[""standard""]"
how do i upgrade my plan i cnt find the buton,sales,false,,,,bulk addition,"[""noisy""]"
The ticket routing feature seems to be broken.,technical_support,false,,,,v3 bulk tech2,"[""standard"", ""technical""]"
Very poor service. Not happy at all.,complaint,false,,,,general complaint,"[""standard"", ""complaint""]"
My email was changed without my permission.,account_issue,false,,,,account issue,"[""standard"", ""account""]"
Setup kaise kare? Mujhe koi guide nahi mil rahi.,general_question,false,,,,bulk addition,"[""hinglish""]"
ticket routing is malfunctioning.,technical_support,false,,,,v3 bulk tech2,"[""standard"", ""technical""]"
I complained earlier but the matter is resolved now.,complaint,false,,,,v3 resolution,"[""resolution_state""]"
Can I get a walkthrough of the enterprise features?,sales,false,,,,purchase intent,"[""standard"", ""sales""]"
